hour,dayOfWeek,isWeekend,isHoliday,hasPromotion,temperatureC,ordersCount
0,2,0,0,0,12,5
1,2,0,0,0,12.3,2
2,2,0,0,0,13.1,2
3,2,0,0,0,14.3,2
4,2,0,0,0,16,3
5,2,0,0,0,17.9,8
6,2,0,0,0,20,13
7,2,0,0,0,22.1,23
8,2,0,0,0,24,38
9,2,0,0,0,25.7,46
10,2,0,0,0,26.9,54
11,2,0,0,1,27.7,87
12,2,0,0,1,28,80
13,2,0,0,1,27.7,93
14,2,0,0,1,26.9,83
15,2,0,0,0,25.7,57
16,2,0,0,0,24,39
17,2,0,0,0,22.1,56
18,2,0,0,0,20,68
19,2,0,0,0,17.9,80
20,2,0,0,0,16,63
21,2,0,0,0,14.3,58
22,2,0,0,0,13.1,42
23,2,0,0,0,12.3,31
0,3,0,0,0,13,4
1,3,0,0,0,13.3,2
2,3,0,0,0,14.1,2
3,3,0,0,0,15.4,2
4,3,0,0,0,17,3
5,3,0,0,0,19,8
6,3,0,0,0,21,16
7,3,0,0,0,23.1,29
8,3,0,0,0,25,39
9,3,0,0,0,26.7,42
10,3,0,0,0,28,51
11,3,0,0,1,28.8,89
12,3,0,0,1,29,84
13,3,0,0,1,28.8,87
14,3,0,0,1,28,72
15,3,0,0,0,26.7,61
16,3,0,0,0,25,39
17,3,0,0,0,23.1,55
18,3,0,0,0,21,72
19,3,0,0,0,19,77
20,3,0,0,0,17,72
21,3,0,0,0,15.4,52
22,3,0,0,0,14.1,42
23,3,0,0,0,13.3,28
0,4,0,0,0,14,5
1,4,0,0,0,14.3,3
2,4,0,0,0,15.1,2
3,4,0,0,0,16.4,2
4,4,0,0,0,18,3
5,4,0,0,0,20,8
6,4,0,0,0,22,17
7,4,0,0,0,24.1,28
8,4,0,0,0,26,33
9,4,0,0,0,27.7,40
10,4,0,0,0,29,55
11,4,0,0,1,29.8,74
12,4,0,0,1,30,96
13,4,0,0,1,29.8,92
14,4,0,0,1,29,85
15,4,0,0,0,27.7,51
16,4,0,0,0,26,50
17,4,0,0,0,24.1,58
18,4,0,0,0,22,64
19,4,0,0,0,20,72
20,4,0,0,0,18,69
21,4,0,0,0,16.4,57
22,4,0,0,0,15.1,47
23,4,0,0,0,14.3,34
0,5,0,0,0,14.9,6
1,5,0,0,0,15.2,3
2,5,0,0,0,16,3
3,5,0,0,0,17.3,3
4,5,0,0,0,18.9,4
5,5,0,0,0,20.9,9
6,5,0,0,0,22.9,16
7,5,0,0,0,25,26
8,5,0,0,0,26.9,40
9,5,0,0,0,28.6,51
10,5,0,0,0,29.9,59
11,5,0,0,1,30.7,103
12,5,0,0,1,30.9,101
13,5,0,0,1,30.7,113
14,5,0,0,1,29.9,83
15,5,0,0,0,28.6,66
16,5,0,0,0,26.9,67
17,5,0,0,0,25,68
18,5,0,0,0,22.9,88
19,5,0,0,0,20.9,72
20,5,0,0,0,18.9,89
21,5,0,0,0,17.3,71
22,5,0,0,0,16,56
23,5,0,0,0,15.2,44
0,6,1,0,0,15.7,7
1,6,1,0,0,16,4
2,6,1,0,0,16.8,3
3,6,1,0,0,18.1,3
4,6,1,0,0,19.7,4
5,6,1,0,0,21.6,11
6,6,1,0,0,23.7,22
7,6,1,0,0,25.8,32
8,6,1,0,0,27.7,48
9,6,1,0,0,29.4,63
10,6,1,0,0,30.6,71
11,6,1,0,0,31.4,76
12,6,1,0,0,31.7,77
13,6,1,0,0,31.4,81
14,6,1,0,0,30.6,86
15,6,1,0,0,29.4,73
16,6,1,0,0,27.7,65
17,6,1,0,0,25.8,87
18,6,1,0,0,23.7,90
19,6,1,0,0,21.6,99
20,6,1,0,0,19.7,101
21,6,1,0,0,18.1,79
22,6,1,0,0,16.8,63
23,6,1,0,0,16,45
0,0,1,1,0,16.3,3
1,0,1,1,0,16.6,2
2,0,1,1,0,17.4,1
3,0,1,1,0,18.7,1
4,0,1,1,0,20.3,2
5,0,1,1,0,22.3,5
6,0,1,1,0,24.3,9
7,0,1,1,0,26.4,17
8,0,1,1,0,28.3,24
9,0,1,1,0,30,26
10,0,1,1,0,31.3,31
11,0,1,1,0,32.1,37
12,0,1,1,0,32.3,33
13,0,1,1,0,32.1,40
14,0,1,1,0,31.3,35
15,0,1,1,0,30,29
16,0,1,1,0,28.3,25
17,0,1,1,0,26.4,37
18,0,1,1,0,24.3,34
19,0,1,1,0,22.3,37
20,0,1,1,0,20.3,43
21,0,1,1,0,18.7,38
22,0,1,1,0,17.4,32
23,0,1,1,0,16.6,22
0,1,0,0,0,16.8,5
1,1,0,0,0,17,3
2,1,0,0,0,17.8,2
3,1,0,0,0,19.1,2
4,1,0,0,0,20.8,3
5,1,0,0,0,22.7,7
6,1,0,0,0,24.8,14
7,1,0,0,0,26.8,28
8,1,0,0,0,28.8,35
9,1,0,0,0,30.4,43
10,1,0,0,0,31.7,48
11,1,0,0,1,32.5,69
12,1,0,0,1,32.8,82
13,1,0,0,1,32.5,66
14,1,0,0,1,31.7,76
15,1,0,0,0,30.4,48
16,1,0,0,0,28.8,44
17,1,0,0,0,26.8,59
18,1,0,0,0,24.8,53
19,1,0,0,0,22.7,56
20,1,0,0,0,20.8,65
21,1,0,0,0,19.1,58
22,1,0,0,0,17.8,47
23,1,0,0,0,17,29
0,2,0,0,0,17,4
1,2,0,0,0,17.2,3
2,2,0,0,0,18,2
3,2,0,0,0,19.3,2
4,2,0,0,0,21,3
5,2,0,0,0,22.9,7
6,2,0,0,0,25,16
7,2,0,0,0,27,30
8,2,0,0,0,29,43
9,2,0,0,0,30.6,44
10,2,0,0,0,31.9,54
11,2,0,0,1,32.7,80
12,2,0,0,1,33,87
13,2,0,0,1,32.7,72
14,2,0,0,1,31.9,89
15,2,0,0,0,30.6,56
16,2,0,0,0,29,47
17,2,0,0,0,27,55
18,2,0,0,0,25,72
19,2,0,0,0,22.9,61
20,2,0,0,0,21,58
21,2,0,0,0,19.3,68
22,2,0,0,0,18,45
23,2,0,0,0,17.2,34
0,3,0,0,0,17,6
1,3,0,0,0,17.2,3
2,3,0,0,0,18,2
3,3,0,0,0,19.3,2
4,3,0,0,0,21,3
5,3,0,0,0,22.9,7
6,3,0,0,0,25,15
7,3,0,0,0,27,29
8,3,0,0,0,29,37
9,3,0,0,0,30.6,47
10,3,0,0,0,31.9,47
11,3,0,0,1,32.7,82
12,3,0,0,1,33,83
13,3,0,0,1,32.7,76
14,3,0,0,1,31.9,79
15,3,0,0,0,30.6,59
16,3,0,0,0,29,55
17,3,0,0,0,27,69
18,3,0,0,0,25,58
19,3,0,0,0,22.9,69
20,3,0,0,0,21,71
21,3,0,0,0,19.3,62
22,3,0,0,0,18,52
23,3,0,0,0,17.2,30
0,4,0,0,0,16.8,5
1,4,0,0,0,17,3
2,4,0,0,0,17.8,2
3,4,0,0,0,19.1,2
4,4,0,0,0,20.8,3
5,4,0,0,0,22.7,8
6,4,0,0,0,24.8,13
7,4,0,0,0,26.8,26
8,4,0,0,0,28.8,34
9,4,0,0,0,30.4,50
10,4,0,0,0,31.7,54
11,4,0,0,1,32.5,79
12,4,0,0,1,32.8,83
13,4,0,0,1,32.5,74
14,4,0,0,1,31.7,83
15,4,0,0,0,30.4,57
16,4,0,0,0,28.8,49
17,4,0,0,0,26.8,66
18,4,0,0,0,24.8,65
19,4,0,0,0,22.7,60
20,4,0,0,0,20.8,58
21,4,0,0,0,19.1,52
22,4,0,0,0,17.8,47
23,4,0,0,0,17,33
0,5,0,0,0,16.3,6
1,5,0,0,0,16.6,3
2,5,0,0,0,17.4,2
3,5,0,0,0,18.7,2
4,5,0,0,0,20.3,4
5,5,0,0,0,22.3,11
6,5,0,0,0,24.3,20
7,5,0,0,0,26.4,30
8,5,0,0,0,28.3,45
9,5,0,0,0,30,53
10,5,0,0,0,31.3,63
11,5,0,0,1,32.1,82
12,5,0,0,1,32.3,100
13,5,0,0,1,32.1,104
14,5,0,0,1,31.3,99
15,5,0,0,0,30,58
16,5,0,0,0,28.3,54
17,5,0,0,0,26.4,65
18,5,0,0,0,24.3,75
